Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
Adventure,Medium,Group,Eco-friendly,Train,Mirissa,Go whale watching in Mirissa
Culture,Low,Family,Luxury,Train,Anuradhapura,Visit ancient stupas in Anuradhapura
"Culture, Adventure",Medium,Solo,Luxury,Rental Car,"Colombo, Anuradhapura, Hikkaduwa, Mirissa, Unawatuna",Visit a Gangaramaya Temple; Visit ancient stupas in Anuradhapura; Snorkel in Hikkaduwa; Go whale watching in Mirissa; Relax at Unawatuna Beach
"Beach, Culture",High,Family,Eco-friendly,Train,"Mirissa, Polonnaruwa",Go whale watching in Mirissa; Explore ancient ruins in Polonnaruwa
"Beach, Relaxation",High,Family,Budget,Rental Car,"Negombo, Matara, Unawatuna, Hambanthota, Mirissa, Kandy",Relax on Negombo Beach; Visit Parey Dewa in Matara; Relax at Unawatuna Beach; Explore Bundala National Park; Go whale watching in Mirissa; Visit the Temple of the Sacred Tooth Relic
Adventure,Medium,Solo,Eco-friendly,Bus,"Arugambay, Hikkaduwa",Surf in Arugambay; Snorkel in Hikkaduwa
"Beach, Relaxation",Medium,Solo,Luxury,Train,"Galle, Unawatuna, Hambanthota, Hambanthota",Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Explore Bundala National Park; Explore Bundala National Park
Wildlife,Low,Group,Luxury,Rental Car,Wilpattu,Explore Wilpattu National Park
"Culture, Wildlife",Medium,Solo,Budget,Train,"Anuradhapura, Koggala, Ratnapura, Yala, Habarana",Visit ancient stupas in Anuradhapura; Relax at Koggala Beach; Visit gem mines in Ratnapura; Safari in Yala National Park; Safari in Habarana
"Beach, Culture, Relaxation",High,Group,Luxury,Bus,"Hikkaduwa, Negombo, Arugambay, Mihintale, Kalutara, Ratnapura, Negombo, Ella",Snorkel in Hikkaduwa; Relax on Negombo Beach; Surf in Arugambay; Climb Mihintale Rock Temple; Visit Kalutara Bodhiya; Visit gem mines in Ratnapura; Relax on Negombo Beach; Hike Ella Rock
"Relaxation, Wildlife, Beach",High,Solo,Eco-friendly,Train,"Hatton, Weligama, Wilpattu, Yala, Tangalle, Hambanthota",Hike Adam's Peak; Take surfing lessons in Weligama; Explore Wilpattu National Park; Safari in Yala National Park; Relax at Tangalle Beach; Explore Bundala National Park
"Beach, Relaxation, Adventure",Low,Solo,Budget,Rental Car,"Kalutara, Dambulla, Unawatuna, Ella, Hikkaduwa",Visit Kalutara Bodhiya; Explore Dambulla Cave Temple; Relax at Unawatuna Beach; Hike Ella Rock; Snorkel in Hikkaduwa
"Relaxation, Wildlife",Low,Family,Luxury,Bus,"Nuwara Eliya, Yala, Sinharaja, Udawalawa",Tour tea plantations in Nuwara Eliya; Safari in Yala National Park; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
